dimer,monomerA,monomerB,reference
11,1A,1B,-0.0470
12,1A,1B,-1.4760
13,1A,1B,-0.6435
14,1A,1B,-0.2173
15,1A,1B,-0.0834
16,1A,1B,-0.0366
17,1A,1B,-0.0175
21,2A,2B,4.8681
22,2A,2B,-2.8811
23,2A,2B,-2.8693
24,2A,2B,-1.9424
25,2A,2B,-1.2513
26,2A,2B,-0.8256
27,2A,2B,-0.4034
28,2A,2B,-0.2230
29,2A,2B,-0.1340
31,3A,3B,-1.5741
32,3A,3B,-2.8691
33,3A,3B,-1.3688
34,3A,3B,-0.4975
35,3A,3B,-0.2167
36,3A,3B,-0.1123
37,3A,3B,-0.0659
41,4A,4B,-8.8093
42,4A,4B,-12.3598
43,4A,4B,-8.5948
44,4A,4B,-4.3578
45,4A,4B,-2.2996
46,4A,4B,-1.2739
47,4A,4B,-0.7280
48,4A,4B,-0.4284
51,5A,5B,-11.3911
52,5A,5B,-12.6997
53,5A,5B,-7.6523
54,5A,5B,-4.2426
55,5A,5B,-2.6963
56,5A,5B,-1.8665
61,6A,6B,-6.2172
62,6A,6B,-10.2071
63,6A,6B,-5.4109
64,6A,6B,-2.4682
65,6A,6B,-1.3358
66,6A,6B,-0.8192
67,6A,6B,-0.5448
71,7A,7B,-3.0403
72,7A,7B,-3.4851
73,7A,7B,-1.5899
74,7A,7B,-0.5769
75,7A,7B,-0.2368
76,7A,7B,-0.1072
81,8A,8B,-0.3601
82,8A,8B,-7.1099
83,8A,8B,-4.5800
84,8A,8B,-1.8632
85,8A,8B,-0.9255
86,8A,8B,-0.5535
87,8A,8B,-0.3729
91,9A,9B,-3.4666
92,9A,9B,-6.3928
93,9A,9B,-3.5077
94,9A,9B,-1.5921
95,9A,9B,-0.8539
96,9A,9B,-0.5170
97,9A,9B,-0.3389
101,10A,10B,8.1622
102,10A,10B,-3.1684
103,10A,10B,-5.0485
104,10A,10B,-4.4240
105,10A,10B,-3.3990
106,10A,10B,-2.0668
107,10A,10B,-1.2922
108,10A,10B,-0.8537
109,10A,10B,-0.5940
1010,10A,10B,-0.43113
1011,10A,10B,-0.32364
1012,10A,10B,-0.24962
1013,10A,10B,-0.19730
1014,10A,10B,-0.15849
1015,10A,10B,-0.12935
1016,10A,10B,-0.10700
