dimer,monomerA,monomerB,reference
01.90,01A,01B,-4.570000
01.95,01A,01B,-4.880000
01.100,01A,01B,-4.890000
01.105,01A,01B,-4.720000
01.110,01A,01B,-4.450000
01.125,01A,01B,-3.460000
01.150,01A,01B,-2.110000
01.200,01A,01B,-0.870000
02.90,02A,02B,-5.190000
02.95,02A,02B,-5.550000
02.100,02A,02B,-5.570000
02.105,02A,02B,-5.380000
02.110,02A,02B,-5.080000
02.125,02A,02B,-3.940000
02.150,02A,02B,-2.390000
02.200,02A,02B,-0.950000
03.90,03A,03B,-6.490000
03.95,03A,03B,-6.870000
03.100,03A,03B,-6.880000
03.105,03A,03B,-6.650000
03.110,03A,03B,-6.280000
03.125,03A,03B,-4.920000
03.150,03A,03B,-2.980000
03.200,03A,03B,-1.140000
04.90,04A,04B,-7.630000
04.95,04A,04B,-8.060000
04.100,04A,04B,-8.080000
04.105,04A,04B,-7.840000
04.110,04A,04B,-7.460000
04.125,04A,04B,-5.990000
04.150,04A,04B,-3.830000
04.200,04A,04B,-1.440000
05.90,05A,05B,-5.280000
05.95,05A,05B,-5.690000
05.100,05A,05B,-5.750000
05.105,05A,05B,-5.580000
05.110,05A,05B,-5.280000
05.125,05A,05B,-4.140000
05.150,05A,05B,-2.520000
05.200,05A,05B,-1.010000
06.90,06A,06B,-6.970000
06.95,06A,06B,-7.470000
06.100,06A,06B,-7.540000
06.105,06A,06B,-7.340000
06.110,06A,06B,-6.970000
06.125,06A,06B,-5.500000
06.150,06A,06B,-3.350000
06.200,06A,06B,-1.270000
07.90,07A,07B,-7.630000
07.95,07A,07B,-8.140000
07.100,07A,07B,-8.220000
07.105,07A,07B,-8.020000
07.110,07A,07B,-7.660000
07.125,07A,07B,-6.180000
07.150,07A,07B,-3.650000
07.200,07A,07B,-1.100000
08.90,08A,08B,-4.590000
08.95,08A,08B,-4.950000
08.100,08A,08B,-5.000000
08.105,08A,08B,-4.850000
08.110,08A,08B,-4.590000
08.125,08A,08B,-3.590000
08.150,08A,08B,-2.200000
08.200,08A,08B,-0.910000
09.90,09A,09B,-2.810000
09.95,09A,09B,-3.040000
09.100,09A,09B,-3.040000
09.105,09A,09B,-2.900000
09.110,09A,09B,-2.690000
09.125,09A,09B,-1.980000
09.150,09A,09B,-1.100000
09.200,09A,09B,-0.390000
10.90,10A,10B,-3.700000
10.95,10A,10B,-4.090000
10.100,10A,10B,-4.150000
10.105,10A,10B,-4.010000
10.110,10A,10B,-3.750000
10.125,10A,10B,-2.790000
10.150,10A,10B,-1.310000
10.200,10A,10B,-0.390000
11.90,11A,11B,-4.950000
11.95,11A,11B,-5.360000
11.100,11A,11B,-5.410000
11.105,11A,11B,-5.240000
11.110,11A,11B,-4.940000
11.125,11A,11B,-3.210000
11.150,11A,11B,-1.400000
11.200,11A,11B,-0.460000
12.90,12A,12B,-6.750000
12.95,12A,12B,-7.200000
12.100,12A,12B,-7.250000
12.105,12A,12B,-7.030000
12.110,12A,12B,-6.660000
12.125,12A,12B,-5.220000
12.150,12A,12B,-3.150000
12.200,12A,12B,-1.200000
13.90,13A,13B,-5.670000
